# Simulation 1 (Up to date)
# 324 data points written for 58 variables.
#
# Tempo (s),Altitude (m),Altitude above sea level (m),Velocidade vertical (m/s),Velocidade total (m/s),Aceleração vertical (m/s²),Aceleração total (m/s²),Posição a Este do lançamento (m),Posição Norte do lançamento (m),Distância lateral (m),Direção lateral (°),Velocidade lateral (m/s),Aceleração lateral (m/s²),Latitude (° N),Longitude (° E),Ângulo de ataque (°),Taxa de rotação (°/s),Taxa de arremesso (°/s),Taxa de guinada (°/s),Orientação vertical (zênite) (°),Orientação lateral (azimute) (°),Massa. (g),Massa do propelente (g),Momento de inércia longitudinal (kg·m²),Momento de inércia de rotação (kg·m²),Aceleração gravitacional (m/s²),Localização do CP (cm),Localização do CG (cm),Calibres da margem de estabilidade (​),Impulso (N),Thrust-to-weight ratio (​),Força de arrasto (N),Coeficiente de arrasto (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de arrasto axial (​),Coeficiente de força normal (​),Coeficiente de momento de Pitch (​),Guinada coeficiente de momento (​),Coeficiente de força lateral (​),Coeficiente do momento de rotação (​),Coeficiente forçado de rotação (​),Coeficiente de amortecimento de rotação (​),Coeficiente de arremesso de amortecimento (​),Velocidade do vento (m/s),Wind direction (°),Temperatura do ar (°C),Pressão do ar (mbar),Air density (g/cm³),Velocidade do som (m/s),Número de Mach (​),Número de Reynolds (​),Comprimento de referência (cm),Área de referência (cm²),Passo de tempo de simulação (s),Tempo de computação (s),Aceleração de Coriolis (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,90,0,0,0,90,0,58.869,16.35,4.079e-4,9.197e-6,9.806,NaN,18.193,NaN,0,0,0,0.759,0.566,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.12,90,15,1013.25,0.001,340.389,0.006,4.521e4,2.5,4.909,0.01,0.002,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,45,0,90,0,0,0,90,0,58.866,16.346,4.079e-4,9.197e-6,9.806,NaN,18.193,NaN,0.125,0.216,0,0.761,0.568,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.093,90,15,1013.25,0.001,340.389,0.006,4.462e4,2.5,4.909,0.01,0.003,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,45,0,90,0,0,0,90,0,58.862,16.343,4.079e-4,9.197e-6,9.806,NaN,18.192,NaN,0.25,0.433,0,0.763,0.57,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.065,90,15,1013.25,0.001,340.389,0.006,4.403e4,2.5,4.909,0.01,0.003,0
0.03,0,0,0,0,0,0,0,0,0,0,0,0,45,0,90,0,0,0,90,0,58.858,16.339,4.078e-4,9.197e-6,9.806,NaN,18.192,NaN,0.375,0.649,0,0.766,0.572,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.038,90,15,1013.25,0.001,340.389,0.006,4.345e4,2.5,4.909,0.011,0.003,0
0.041,0,0,0,0,0,0,0,0,0,0,0,0,45,0,90,0,0,0,90,0,58.854,16.335,4.078e-4,9.196e-6,9.806,NaN,18.191,NaN,0.512,0.887,0,0.768,0.575,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.007,90,15,1013.25,0.001,340.389,0.006,4.28e4,2.5,4.909,0.01,0.004,0
0.051,6.874e-5,6.874e-5,0.022,0.022,5.232,5.233,-3.82e-6,0,3.82e-6,270,9.526e-4,0.113,45,0,89.35,0,0,0,90,0,58.836,16.316,4.077e-4,9.196e-6,9.806,NaN,18.189,NaN,0.885,1.534,0,0.771,0.577,0.073,0.12,2.806e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.982,90,15,1013.25,0.001,340.389,0.006,4.225e4,2.5,4.909,0.01,0.004,0
0.061,6.607e-4,6.607e-4,0.107,0.107,11.575,11.576,-1.9e-5,0,1.9e-5,270,0.002,0.113,45,0,86.913,0,0,0,90,0,58.817,16.298,4.076e-4,9.195e-6,9.806,NaN,18.186,NaN,1.258,2.18,3.451e-7,0.771,0.577,0.073,0.12,2.934e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.977,90,15,1013.25,0.001,340.389,0.006,4.217e4,2.5,4.909,0.01,0.005,0
0.071,0.002,0.002,0.254,0.254,17.922,17.922,-4.545e-5,0,4.545e-5,270,0.003,0.113,45,0,82.649,0,0,0,90,0,58.798,16.279,4.074e-4,9.194e-6,9.806,NaN,18.184,NaN,1.63,2.828,4.479e-6,0.77,0.577,0.073,0.12,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.972,90,15,1013.25,0.001,340.389,0.006,4.233e4,2.5,4.909,0.01,0.005,0
0.081,0.006,0.006,0.465,0.465,24.273,24.273,-8.326e-5,0,8.326e-5,270,0.004,0.116,45,0,76.672,0,0,0,90,0,58.78,16.26,4.073e-4,9.193e-6,9.806,NaN,18.181,NaN,2.003,3.475,2.563e-5,0.767,0.574,0.073,0.12,0.021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.967,90,15,1013.249,0.001,340.389,0.006,4.301e4,2.5,4.909,0.003,0.006,0
0.084,0.007,0.007,0.541,0.541,26.178,26.179,-9.686e-5,0,9.686e-5,270,0.005,0.118,45,0,74.586,0,0,0,90,0,58.774,16.255,4.073e-4,9.193e-6,9.806,NaN,18.18,NaN,2.115,3.67,3.925e-5,0.766,0.573,0.073,0.12,0.032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.966,90,15,1013.249,0.001,340.389,0.006,4.337e4,2.5,4.909,0.005,0.006,0
